id	type	origin	destination	demand
2182	111	131027	225551	2.38156
2183	111	131027	225553	13.09855
2184	111	131027	200849	5.9539
2185	111	131027	200345	5.606299999999999
2186	111	131027	229913	3.654246
2187	111	131027	200344	5.606299999999999
2188	111	131027	225698	4.32394
2189	111	131027	200359	10.091339999999999
2190	111	131027	200358	10.091339999999999
2191	111	131027	200363	43.72914
2192	111	131027	200362	85.21580999999999
2193	111	131027	200361	30.27398
2194	111	131027	200360	3.36378
2195	111	131027	200375	17.94017
2196	111	131027	226359	10.091339999999999
2197	111	131027	200374	8.97008
2198	111	131027	200373	2.24252
2199	111	131027	200372	4.76312
2200	111	131027	200379	35.88033999999999
2201	111	131027	231483	3.3637799999999998
2202	111	131027	200378	17.94016
2203	111	131027	226234	10.091339999999999
2204	111	131027	200377	23.54647
2205	111	131027	200376	26.910239999999995
2206	111	131027	200383	16.81891
2207	111	131027	200382	10.091339999999999
2208	111	131027	225469	6.996665
2209	111	131027	200381	21.303939999999997
2210	111	131027	231229	4.48504
2211	111	131027	200380	6.7275599999999995
2212	111	131027	226364	2.24252
2213	111	131027	200386	13.455119999999999
2214	111	131027	201410	7.848819999999998
2215	111	131027	200385	29.152759999999997
2216	111	131027	201409	6.7275599999999995
2217	111	131027	200384	16.8189
2218	111	131027	201408	17.94016
2219	111	131027	201413	42.6079
2220	111	131027	200403	9.52623
2221	111	131027	200407	2.24252
2222	111	131027	200406	12.333859999999998
2223	111	131027	200405	20.24325
2224	111	131027	200404	4.76312
2225	111	131027	226399	6.72756
2226	111	131027	231786	10.717
2227	111	131027	231791	29.9914
2228	111	131536	225669	270.1265
2229	111	131536	225551	116.0
2230	111	131536	232077	0.82072
2231	111	131536	225553	26.0
2232	111	131536	200849	75.53679
2233	111	131536	229913	26.310580000000005
2234	111	131536	200345	17.353009999999998
2235	111	131536	200344	29.60221
2236	111	131536	225698	22.484464000000003
2237	111	131536	232097	35.416070000000005
2238	111	131536	200359	25.519140000000004
2239	111	131536	200358	31.643730000000005
2240	111	131536	200356	2.04154
2241	111	131536	200362	58.18372000000001
2242	111	131536	200361	37.76834
2243	111	131536	200360	19.39457
2244	111	131536	226359	17.0
2245	111	131536	200375	35.72685
2246	111	131536	200374	41.8514
2247	111	131536	200373	88.80659
2248	111	131536	200372	228.65159999999995
2249	111	131536	200379	335.8318
2250	111	131536	226234	2.0
2251	111	131536	200378	218.4439
2252	111	131536	200377	155.15630000000002
2253	111	131536	200376	60.225199999999994
2254	111	131536	200383	209.25689999999997
2255	111	131536	200382	127.59572999999997
2256	111	131536	225469	17.0
2257	111	131536	200381	215.38150000000002
2258	111	131536	226364	39.0
2259	111	131536	200380	157.19793
2260	111	131536	201410	7.145369999999999
2261	111	131536	200386	5.103829999999999
2262	111	131536	201409	101.05582999999999
2263	111	131536	200385	51.03835000000001
2264	111	131536	201408	168.4262
2265	111	131536	200384	123.51275
2266	111	131536	201413	95.95192
2267	111	131536	230479	11.4443
2268	111	131536	200403	150.05259999999998
2269	111	131536	226386	66.46578
2270	111	131536	230615	50.92209
2271	111	131536	200407	36.7476
2272	111	131536	200406	103.09733
2273	111	131536	200405	110.24269999999999
2274	111	131536	200404	22.456850000000003
2275	111	131536	226393	35.59256
2276	111	131536	230616	103.33593
2277	111	131536	226399	35.0
2278	111	131536	230631	7.0
2279	111	131536	231027	8.83152
2280	111	131536	231551	9.43121
2281	111	131551	233099	2.52102
2282	111	131551	225545	52.20779999999999
2283	111	131551	225673	2.8174340000000004
2284	111	131551	233096	0.630255
2285	111	131551	225551	1.338662
2286	111	131551	232077	0.258631
2287	111	131551	200849	4.015982
2288	111	131551	200345	1.26051
2289	111	131551	229913	7.308509000000001
2290	111	131551	200344	5.6722850000000005
2291	111	131551	225698	2.594361
2292	111	131551	200359	2.52102
2293	111	131551	200356	2.52102
2294	111	131551	200363	1.26051
2295	111	131551	200362	11.974835
2296	111	131551	200361	8.82357
2297	111	131551	200360	3.78153
2298	111	131551	200375	1.26051
2299	111	131551	200374	1.26051
2300	111	131551	200373	0.630255
2301	111	131551	200372	2.677322
2302	111	131551	231483	5.672295
2303	111	131551	200379	2.52102
2304	111	131551	226234	3.151275
2305	111	131551	200378	6.302545
2306	111	131551	200377	3.78153
2307	111	131551	200376	5.672295
2308	111	131551	200383	0.630255
2309	111	131551	200382	2.52102
2310	111	131551	225469	21.958075
2311	111	131551	200381	10.714315000000001
2312	111	131551	200380	6.302545
2313	111	131551	201410	0.630255
2314	111	131551	200386	1.890765
2315	111	131551	201409	3.78153
2316	111	131551	200385	8.19331
2317	111	131551	201408	11.344585
2318	111	131551	200384	0.630255
2319	111	131551	201413	7.563055
2320	111	131551	200403	3.346655
2321	111	131551	200407	8.823565
2322	111	131551	200406	28.36146
2323	111	131551	200405	20.079901999999997
2324	111	131551	200404	0.669331
2325	111	131551	226393	26.596624
2326	111	131551	226399	4.41178
2327	111	131551	231786	30.789150999999997
2328	111	131551	231791	89.9742
2329	111	131551	231027	0.927684
2330	111	126307	200386	2.05504
2331	111	126307	200385	3.08256
2332	111	126307	201409	3.08257
2333	111	126307	200384	4.11008
2334	111	126307	201408	5.13761
2335	111	126307	201413	26.71561
2336	111	126307	233099	4.0
2337	111	126307	225545	1.062
2338	111	126307	225673	0.1745312
2339	111	126307	225551	2.124
2340	111	126307	232077	2.8725199999999997
2341	111	126307	200403	1.09123
2342	111	126307	200849	1.09123
2343	111	126307	200407	1.02752
2344	111	126307	200406	7.19265
2345	111	126307	200404	2.18246
2346	111	126307	230616	4.30566
2347	111	126307	225698	1.729574
2348	111	126307	200359	6.1651299999999996
2349	111	126307	200358	1.02752
2350	111	126307	200363	1.02752
2351	111	126307	231786	2.124
2352	111	126307	200362	106.86238
2353	111	126307	200361	100.69723
2354	111	126307	231027	1.4719200000000001
2355	111	126307	200375	3.08256
2356	111	126307	200374	3.08256
2357	111	126307	200373	1.02752
2358	111	126307	200372	1.09123
2359	111	126307	200379	7.1926499999999995
2360	111	126307	226234	4.0
2361	111	126307	200378	8.22018
2362	111	126307	200377	12.330279999999998
2363	111	126307	200376	10.275239999999998
2364	111	126307	200383	6.16513
2365	111	126307	200382	1.02752
2366	111	126307	225469	2.6
2367	111	126307	200381	8.22018
2368	111	126307	200380	2.05504
2369	111	125669	233099	3.3976
2370	111	125669	225545	32.474219999999995
2371	111	125669	225673	0.8477231
2372	111	125669	233096	10.1928
2373	111	125669	225551	1.80413
2374	111	125669	200849	32.474289999999996
2375	111	125669	200345	5.0964
2376	111	125669	229913	5.664084000000001
2377	111	125669	200344	16.98798
2378	111	125669	200359	5.0964
2379	111	125669	200358	5.0964
2380	111	125669	200356	6.7952
2381	111	125669	200363	3.3976
2382	111	125669	200362	42.46998
2383	111	125669	200361	22.084380000000003
2384	111	125669	200360	3.3976
2385	111	125669	226359	1.6988
2386	111	125669	200375	6.7952
2387	111	125669	200374	8.494
2388	111	125669	200373	16.98799
2389	111	125669	200372	28.86598
2390	111	125669	200379	202.1572
2391	111	125669	231483	1.6988
2392	111	125669	226234	6.7952
2393	111	125669	200378	96.83159
2394	111	125669	200377	39.07236
2395	111	125669	200376	18.686770000000003
2396	111	125669	200383	88.33758999999999
2397	111	125669	200382	112.12079
2398	111	125669	225469	9.717122
2399	111	125669	200381	183.47039999999998
2400	111	125669	200380	129.1088
2401	111	125669	201410	3.3976
2402	111	125669	200386	1.6988
2403	111	125669	201409	6.7952
2404	111	125669	200385	28.87957
2405	111	125669	201408	33.97598
2406	111	125669	200384	18.68678
2407	111	125669	201413	42.46996
2408	111	125669	200403	16.23714
2409	111	125669	226386	2.30433
2410	111	125669	200407	5.0964
2411	111	125669	200406	40.7712
2412	111	125669	200405	57.732060000000004
2413	111	125669	200404	14.433010000000003
2414	111	125669	226393	23.46761
